Number of atom:  368 Number of residue:  63
Contact cutoff  1.0 nm
NonbondedMethod:  1
Reading Fragment table. from ./frag_table.npy.
Fragment table loaded, number of bonds: 1272
Steps    Q        Con      Chain    Chi      Excluded Rama     Contact  Fragment Membrane Total   
0        0.04     63.88    46.15    11.37    0.66     -130.33  -53.15   -150.22  0.00     -211.64 
1        0.10     76.94    43.27    13.12    4.62     -154.36  -49.50   -184.90  0.00     -250.81 
2        0.13     67.09    48.10    13.72    1.65     -165.00  -51.67   -208.05  0.00     -294.17 
3        0.18     55.54    40.02    16.96    2.30     -164.81  -52.66   -237.11  0.00     -339.75 
4        0.20     61.07    41.48    17.70    3.32     -163.98  -52.23   -249.83  0.00     -342.49 
5        0.21     65.08    49.74    13.38    3.15     -175.03  -54.22   -257.93  0.00     -355.83 
6        0.22     67.60    46.65    11.66    5.55     -176.56  -51.95   -265.66  0.00     -362.71 
7        0.25     62.11    51.95    12.63    4.06     -188.37  -54.03   -273.82  0.00     -385.48 
8        0.30     74.04    48.43    11.95    3.25     -202.62  -56.52   -287.03  0.00     -408.51 
9        0.28     57.12    47.65    13.82    3.07     -190.39  -53.93   -289.11  0.00     -411.78 
10       0.29     66.20    47.04    16.01    4.17     -201.02  -52.44   -287.43  0.00     -407.47 
11       0.29     75.99    42.11    12.03    3.83     -208.76  -53.30   -283.60  0.00     -411.71 
12       0.30     61.36    43.89    16.50    1.64     -204.83  -53.64   -288.67  0.00     -423.76 
13       0.32     64.84    43.18    9.63     1.90     -198.49  -53.81   -296.97  0.00     -429.72 
14       0.32     65.13    53.32    14.81    6.02     -210.33  -58.51   -295.38  0.00     -424.93 
15       0.33     68.55    53.50    13.86    5.11     -217.15  -55.23   -290.15  0.00     -421.51 
16       0.34     73.04    46.86    12.50    2.73     -215.03  -55.66   -288.48  0.00     -424.04 
17       0.34     69.83    47.16    16.66    2.22     -221.74  -58.02   -302.13  0.00     -446.01 
18       0.39     63.49    43.03    11.24    3.98     -218.43  -56.82   -306.37  0.00     -459.89 
19       0.38     65.02    39.12    13.19    7.34     -229.18  -55.65   -305.52  0.00     -465.68 
20       0.38     62.93    49.70    13.19    5.98     -224.43  -55.41   -308.03  0.00     -456.06 
21       0.40     79.95    45.01    13.64    4.00     -231.51  -55.67   -307.05  0.00     -451.63 
22       0.39     60.20    35.00    12.25    4.20     -235.03  -56.26   -308.27  0.00     -487.91 
23       0.43     65.26    38.51    13.38    3.21     -230.55  -56.51   -310.51  0.00     -477.20 
24       0.44     64.63    46.76    11.66    6.06     -240.10  -56.16   -313.72  0.00     -480.87 
25       0.42     67.72    46.00    15.15    3.51     -227.23  -58.52   -311.37  0.00     -464.74 
26       0.40     66.74    49.74    12.45    9.06     -234.13  -63.73   -305.38  0.00     -465.24 
27       0.43     66.75    40.95    11.58    5.07     -219.92  -65.72   -310.13  0.00     -471.42 
28       0.42     70.69    44.90    9.89     1.11     -234.44  -65.85   -308.38  0.00     -482.06 
29       0.42     66.80    35.64    13.30    2.57     -230.95  -68.05   -308.58  0.00     -489.25 
30       0.41     60.15    39.93    13.04    10.44    -243.71  -63.14   -303.62  0.00     -486.90 
31       0.42     64.60    45.44    15.00    3.66     -238.51  -69.20   -311.99  0.00     -490.99 
32       0.42     72.39    48.79    13.57    6.29     -229.01  -68.24   -308.70  0.00     -464.90 
33       0.42     62.84    50.26    17.32    4.52     -231.16  -67.44   -308.49  0.00     -472.15 
34       0.41     67.26    45.19    21.08    3.24     -239.47  -66.38   -307.22  0.00     -476.28 
35       0.43     56.82    37.87    10.17    2.98     -231.26  -68.69   -307.62  0.00     -499.73 
36       0.46     77.45    38.36    12.02    6.14     -221.91  -68.74   -312.15  0.00     -468.83 
37       0.45     59.52    38.25    13.00    4.64     -231.08  -67.33   -309.27  0.00     -492.27 
38       0.47     69.71    40.48    16.07    9.37     -229.91  -72.98   -305.65  0.00     -472.93 
39       0.46     60.63    49.07    9.91     5.36     -237.68  -69.32   -307.33  0.00     -489.36 
40       0.48     60.63    42.51    14.08    5.75     -225.37  -74.77   -313.68  0.00     -490.85 
41       0.45     57.37    42.69    12.61    1.81     -231.83  -75.31   -311.32  0.00     -503.97 
42       0.48     55.70    47.34    14.74    3.96     -230.40  -73.71   -315.36  0.00     -497.73 
43       0.46     61.51    41.40    12.55    5.22     -239.87  -67.59   -308.55  0.00     -495.32 
44       0.48     57.92    45.49    13.97    6.04     -224.65  -69.35   -312.57  0.00     -483.15 
45       0.47     62.87    37.30    16.85    4.16     -228.75  -72.39   -309.44  0.00     -489.41 
46       0.49     68.31    38.62    14.04    4.51     -235.12  -66.61   -313.73  0.00     -489.98 
47       0.48     71.00    32.93    15.64    4.25     -232.79  -67.74   -313.04  0.00     -489.76 
48       0.48     66.46    60.78    11.65    5.29     -228.00  -63.49   -316.74  0.00     -464.06 
49       0.49     61.24    48.16    15.09    4.68     -228.07  -66.58   -311.49  0.00     -476.96 
50       0.50     64.17    42.50    14.63    6.90     -232.85  -72.40   -315.01  0.00     -492.06 
51       0.45     80.92    41.81    13.04    6.35     -233.19  -71.77   -314.51  0.00     -477.36 
52       0.47     57.66    43.79    12.61    2.15     -239.38  -73.92   -314.13  0.00     -511.21 
53       0.47     60.82    42.27    16.40    6.43     -234.81  -69.42   -308.16  0.00     -486.48 
54       0.46     66.24    42.70    11.62    4.27     -237.52  -73.74   -307.67  0.00     -494.10 
55       0.44     72.88    40.13    10.60    3.99     -239.55  -73.42   -306.01  0.00     -491.39 
56       0.44     65.74    44.31    15.32    6.45     -242.46  -73.11   -310.14  0.00     -493.89 
57       0.44     53.43    43.63    14.63    2.65     -235.38  -64.30   -310.60  0.00     -495.94 
58       0.50     69.72    46.05    13.82    3.94     -233.81  -72.51   -317.01  0.00     -489.80 
59       0.54     68.16    43.47    11.74    4.26     -245.12  -74.14   -317.34  0.00     -508.97 
60       0.51     60.23    52.90    12.76    3.94     -240.96  -75.94   -312.86  0.00     -499.91 
61       0.50     74.56    39.02    13.58    4.29     -240.79  -76.51   -317.06  0.00     -502.92 
62       0.52     70.88    35.71    11.48    4.42     -244.95  -78.18   -314.01  0.00     -514.67 
63       0.50     57.02    46.37    10.67    3.66     -247.66  -73.46   -314.37  0.00     -517.77 
64       0.53     67.65    44.89    17.99    3.51     -251.71  -79.77   -313.85  0.00     -511.31 
65       0.53     69.39    55.94    9.88     8.41     -242.46  -82.36   -314.62  0.00     -495.81 
66       0.52     62.28    42.96    8.39     3.36     -245.53  -79.54   -313.41  0.00     -521.49 
67       0.48     69.65    37.24    12.70    2.89     -255.83  -77.99   -310.43  0.00     -521.79 
68       0.53     66.13    50.84    18.76    4.75     -238.33  -78.27   -314.85  0.00     -490.97 
69       0.47     65.07    47.87    10.85    4.22     -238.60  -79.70   -311.53  0.00     -501.81 
70       0.52     55.37    45.31    12.31    5.61     -245.81  -79.27   -317.09  0.00     -523.56 
71       0.54     71.09    38.30    8.18     6.71     -245.43  -72.88   -313.35  0.00     -507.38 
