Number of atom:  559 Number of residue:  96
Contact cutoff  1.0 nm
NonbondedMethod:  1
Reading Fragment table. from ./frag_table.npy.
Fragment table loaded, number of bonds: 1976
ER term is ON
Steps    Q        Con      Chain    Chi      Excluded Rama     Contact  Fragment Membrane ER       TBM_Q    beta_1   beta_2   beta_3   pap      Total   
0        0.08     202.73   137.80   43.50    2.15     -261.23  -74.23   -337.35  0.00     -0.00    217.42   -11.02   -0.00    0.00     0.00     -80.22  
1        0.10     184.46   141.18   38.86    10.47    -265.98  -82.53   -373.52  0.00     -0.00    213.79   -15.87   -0.00    0.00     0.00     -149.14 
2        0.14     233.46   149.01   42.73    10.72    -313.90  -81.97   -382.93  0.00     -19.18   208.80   -26.10   -0.00    0.00     0.00     -179.36 
3        0.14     199.59   126.72   39.11    13.85    -270.78  -83.87   -384.91  0.00     -25.31   200.50   -27.95   -0.00    0.00     0.00     -213.05 
4        0.16     198.37   118.21   32.19    8.11     -277.93  -86.74   -379.55  0.00     -37.51   195.93   -18.92   -0.00    0.00     0.00     -247.85 
5        0.16     201.57   133.43   35.66    9.27     -298.07  -88.36   -384.75  0.00     -56.77   194.79   -25.70   -0.00    -0.00    0.00     -278.92 
6        0.17     205.39   124.35   36.96    11.65    -293.80  -102.65  -379.72  0.00     -69.25   189.85   -25.93   -0.00    -0.00    0.00     -303.15 
7        0.20     202.68   130.54   46.07    12.50    -287.36  -105.90  -373.30  0.00     -84.44   179.91   -23.65   -0.00    -0.00    0.00     -302.96 
8        0.41     181.60   124.14   34.36    20.74    -271.76  -141.51  -395.91  0.00     -329.38  168.44   -25.44   -2.96    -0.00    0.00     -637.68 
9        0.47     194.99   143.81   45.94    8.85     -280.29  -130.15  -384.12  0.00     -433.98  164.55   -26.85   -2.94    -0.02    -0.03    -700.25 
10       0.52     194.66   133.36   36.30    14.73    -301.77  -143.52  -395.02  0.00     -470.87  163.24   -39.00   -5.70    -0.06    0.00     -813.65 
11       0.55     173.99   122.22   43.17    20.27    -317.05  -140.95  -399.16  0.00     -468.37  159.43   -34.85   -3.62    -1.95    0.00     -846.87 
12       0.51     172.37   109.38   40.25    15.15    -301.57  -137.54  -403.53  0.00     -479.72  159.58   -36.74   -7.22    -1.31    0.00     -870.89 
13       0.52     169.10   126.14   29.92    16.08    -298.56  -137.42  -403.80  0.00     -479.82  164.78   -34.09   -3.94    -0.47    -0.00    -852.09 
14       0.53     185.43   121.82   39.61    14.32    -322.25  -143.87  -410.38  0.00     -486.64  161.38   -37.39   -2.42    -2.22    0.00     -882.60 
15       0.52     190.64   130.53   33.01    17.73    -298.82  -142.44  -412.27  0.00     -481.87  161.42   -40.37   -0.46    -0.13    -0.00    -843.00 
16       0.50     216.30   167.48   38.50    7.41     -286.73  -136.13  -407.42  0.00     -477.19  159.93   -35.77   -4.83    -0.70    0.00     -759.16 
17       0.55     189.21   122.52   37.95    16.17    -303.97  -132.52  -399.73  0.00     -490.00  160.01   -36.10   -8.14    -0.06    0.00     -844.64 
18       0.52     182.46   122.92   41.38    21.03    -300.50  -143.72  -407.12  0.00     -474.60  163.93   -41.95   -0.56    -2.42    0.00     -839.15 
19       0.52     216.87   133.91   32.80    18.08    -300.88  -139.93  -407.85  0.00     -490.02  159.37   -42.94   -6.44    -0.52    0.00     -827.54 
20       0.56     184.62   123.55   45.68    11.98    -281.74  -138.49  -408.02  0.00     -478.91  160.94   -40.47   -8.14    -1.10    0.00     -830.08 
21       0.54     209.24   126.67   37.63    14.52    -319.91  -152.04  -406.30  0.00     -490.05  160.55   -44.19   -3.80    -0.94    0.00     -868.63 
22       0.50     157.28   128.40   32.75    12.30    -304.70  -142.45  -397.75  0.00     -494.21  163.57   -41.53   -7.64    -0.09    0.00     -894.05 
23       0.52     190.75   106.06   42.40    7.26     -306.01  -132.97  -403.76  0.00     -479.97  160.29   -39.01   -6.32    -3.07    0.00     -864.34 
