Reading Fragment table. from ./frag_table.npy.
Fragment table loaded, number of bonds: 1272
Steps    Con      Chain    Chi      Excluded Rama     Water    Burial   Fragment Total   
0        99.71    20.00    1.34     0.00     -133.72  0.00     -34.38   -101.51  -148.56 
1        252.90   564.83   104.41   10.33    -64.29   -0.15    -50.97   -203.13  613.93  
2        154.92   498.49   64.70    4.59     -63.21   -6.54    -53.70   -247.28  351.98  
3        131.98   322.47   41.74    2.66     -79.27   -0.94    -51.73   -261.98  104.92  
4        118.11   333.68   65.62    6.28     -99.04   -8.78    -55.24   -279.43  81.19   
5        112.75   296.15   62.99    10.76    -105.74  -5.32    -53.39   -292.96  25.24   
6        118.08   351.38   63.06    12.41    -93.40   -3.81    -54.43   -311.85  81.42   
7        117.35   291.82   41.01    3.61     -107.20  -2.96    -54.26   -310.66  -21.30  
8        118.01   269.54   45.22    6.89     -101.12  -2.05    -53.24   -321.22  -37.98  
9        123.77   304.17   48.61    9.76     -106.86  -2.13    -55.30   -313.49  8.54    
10       129.06   326.38   54.83    9.79     -105.46  -11.09   -53.89   -318.08  31.54   
11       113.39   266.48   50.02    8.92     -117.17  -11.96   -53.77   -308.77  -52.86  
12       137.49   358.88   70.40    11.84    -114.46  -22.17   -53.88   -304.09  84.01   
13       131.22   281.87   43.53    10.70    -109.04  -19.07   -53.68   -305.57  -20.05  
14       108.60   266.18   39.57    5.76     -98.52   -21.80   -54.76   -306.64  -61.59  
15       109.36   260.10   62.95    7.56     -110.75  -19.95   -55.10   -296.89  -42.71  
16       119.34   290.26   64.78    8.08     -96.05   -21.71   -55.83   -293.34  15.52   
17       123.51   292.99   54.96    11.79    -105.50  -18.48   -56.38   -316.47  -13.58  
18       119.70   288.73   54.67    10.76    -106.82  -18.19   -56.16   -301.75  -9.07   
19       122.12   317.81   72.77    4.08     -110.50  -25.43   -54.50   -297.11  29.25   
20       110.23   306.72   55.61    5.02     -111.04  -26.10   -55.41   -305.48  -20.45  
21       111.60   314.85   50.07    4.17     -112.42  -24.14   -54.75   -308.52  -19.13  
22       120.36   286.33   54.17    12.60    -118.22  -30.51   -54.82   -310.29  -40.36  
23       99.90    215.36   50.61    9.80     -113.86  -25.53   -55.24   -315.47  -134.42 
24       133.44   298.30   48.08    8.80     -119.07  -28.34   -55.81   -304.82  -19.42  
25       111.04   276.35   57.00    8.43     -108.69  -20.90   -55.57   -305.11  -37.46  
26       107.95   309.48   58.95    4.84     -115.02  -19.24   -54.81   -317.17  -25.02  
27       115.08   326.61   45.27    8.41     -108.62  -18.41   -54.15   -309.44  4.75    
28       110.33   288.43   53.50    11.00    -114.66  -17.11   -56.56   -316.52  -41.58  
29       124.39   284.81   51.49    9.25     -117.40  -21.68   -54.97   -305.44  -29.56  
