-0.46361   -0.46361
-0.36811   -0.36811
-0.31990   -0.31990
-0.16937   -0.16937
0.23562    0.23562
-0.08937   -0.08937
-0.14348   -0.14348
-0.13330   -0.13330
-0.45818   -0.45818
0.63680    0.63680
0.30950    0.30950
-0.64917   -0.64917
0.13353    0.13353
-0.24915   -0.24915
-0.21180   -0.21180
-0.22429   -0.22429
0.45448    0.45448
-0.55101   -0.55101
-0.19227   -0.19227
0.56778    0.56778
-0.21516   -0.21516
-0.33505   -0.33505
0.83242    0.83242
-0.17411   -0.17411
-0.29655   -0.29655
0.44974    0.44974
0.00162    0.00162
-0.42361   -0.42361
0.13955    0.13955
-0.15099   -0.15099
-0.44176   -0.44176
0.20602    0.20602
-0.46824   -0.46824
-0.01191   -0.01191
-0.30302   -0.30302
0.26175    0.26175
-0.32291   -0.32291
0.22221    0.22221
0.09226    0.09226
1.30308    1.30308
0.74409    0.74409
-0.28591   -0.28591
0.51367    0.51367
0.22845    0.22845
0.32580    0.32580
-0.09515   -0.09515
-0.04821   -0.04821
-0.24672   -0.24672
0.28163    0.28163
-0.05503   -0.05503
-0.49078   -0.49078
0.29840    0.29840
1.01023    1.01023
0.56905    0.56905
-0.08833   -0.08833
-0.16255   -0.16255
0.01006    0.01006
-0.20880   -0.20880
-0.09133   -0.09133
0.48511    0.48511
-0.30430   -0.30430
0.45459    0.45459
0.15596    0.15596
-0.02717   -0.02717
-0.31389   -0.31389
-0.07839   -0.07839
-0.22915   -0.22915
-0.34071   -0.34071
0.74363    0.74363
0.60952    0.60952
0.37066    0.37066
-0.86132   -0.86132
-0.79820   -0.79820
-0.37436   -0.37436
-0.02220   -0.02220
-0.15411   -0.15411
-0.19331   -0.19331
-0.41274   -0.41274
-0.08174   -0.08174
0.95763    0.95763
1.19082    1.19082
-0.16406   -0.16406
1.76704    1.76704
0.12995    0.12995
0.33482    0.33482
0.82155    0.82155
-0.26718   -0.26718
-0.25053   -0.25053
0.98699    0.98699
0.90063    0.90063
0.37089    0.37089
0.17550    0.17550
-0.01885   -0.01885
-0.49864   -0.49864
-0.03538   -0.03538
-0.44361   -0.44361
-0.23493   -0.23493
0.21851    0.21851
0.09238    0.09238
-0.04890   -0.04890
0.34592    0.34592
0.29158    0.29158
-0.36083   -0.36083
0.40789    0.40789
-0.13307   -0.13307
-0.47991   -0.47991
0.00254    0.00254
-0.36337   -0.36337
-0.01896   -0.01896
-0.13666   -0.13666
0.75045    0.75045
0.01029    0.01029
-0.68096   -0.68096
0.81149    0.81149
0.52269    0.52269
0.54338    0.54338
-0.19920   -0.19920
0.08498    0.08498
-0.12128   -0.12128
0.64085    0.64085
0.64154    0.64154
-0.10475   -0.10475
-0.06787   -0.06787
-0.08764   -0.08764
-0.28510   -0.28510
-0.20001   -0.20001
0.49298    0.49298
-0.00578   -0.00578
0.02960    0.02960
-0.21678   -0.21678
-0.17643   -0.17643
0.28268    0.28268
0.00358    0.00358
0.20857    0.20857
0.16602    0.16602
-0.27990   -0.27990
-0.04613   -0.04613
-0.47471   -0.47471
-0.43667   -0.43667
-0.16752   -0.16752
0.31956    0.31956
